actor,script,start_time,end_time,duration
설명,[주제곡],00:00:01,00:00:01,00:00:01
설명,[고풍스러운 음악] [확성기 작동음],00:00:43,00:00:43,00:00:43
철욱,악덕 기업 바벨화학은 각성하라!,00:00:46,00:00:46,00:00:46
세입자들,각성하라! 각성하라!,00:00:51,00:00:51,00:00:51
철욱,온다,00:00:55,00:00:55,00:00:55
설명,[목탁 소리가 울린다],00:00:56,00:00:56,00:00:56
연진,피 토해서 못 살겠다! [스님들이 염불을 왼다],00:00:58,00:00:58,00:00:58
연진,바벨화학은 반성하라!,00:01:01,00:01:01,00:01:01
미리,"바로 이것이 피해자들의 고통의 몸부림입니다, 여러분!",00:01:07,00:01:07,00:01:07
채신과 적하,"[카메라 셔터음이 연신 울린다] 관세음보살, 관세음보살, 관세음보살",00:01:13,00:01:13,00:01:13
채신과 적하,"관세음보살, 관세음보살, 관세음보살",00:01:19,00:01:19,00:01:19
설명,[스님들이 계속 염불을 왼다] [리드미컬한 음악],00:01:26,00:01:26,00:01:26
채신과 적하,"뭐 하는 거야, 지금 저 쌰발라들은",00:01:33,00:01:33,00:01:33
채신과 적하,가시죠,00:01:36,00:01:36,00:01:36
채신과 적하,"가지가지 한다, 아유",00:01:37,00:01:37,00:01:37
채신과 적하,"관세음보살, 관세음보살 [의미심장한 효과음]",00:01:45,00:01:45,00:01:45
설명,[익살스러운 효과음],00:02:01,00:02:01,00:02:01
허 판사,감나무집 초심을 잃어 뿠어 [배석 판사의 웃음],00:02:21,00:02:21,00:02:21
허 판사,국물 맛이 파이야 [배석 판사의 웃음],00:02:24,00:02:24,00:02:24
허 판사,"거, 딴 데로 옮겨 뿔자고잉? [배석 판사가 대답한다]",00:02:25,00:02:25,00:02:25
연진,"아유, 어머나, 어머! [허 판사의 놀란 신음]",00:02:27,00:02:27,00:02:27
연진,"어머, 어머, 죄송합니다 [허 판사의 못마땅한 신음]",00:02:29,00:02:29,00:02:29
설명,[흥미로운 음악],00:02:31,00:02:31,00:02:31
연진,"아유, 죄송해요",00:02:31,00:02:31,00:02:31
허 판사,"에이, 진짜",00:02:31,00:02:31,00:02:31
연진,"아니, 여기가 다 묻으셨어",00:02:33,00:02:33,00:02:33
연진,"아니, 제가 렌즈를 잃어버렸습니다",00:02:34,00:02:34,00:02:34
