actor,script,start_time,end_time,duration
설명,[주제곡],00:00:01,00:00:01,00:00:01
설명,[의미심장한 음악],00:00:43,00:00:43,00:00:43
빈센조,나의 목표는,00:01:03,00:01:03,00:01:03
빈센조,이 건물을 무너뜨리는 것이다,00:01:07,00:01:07,00:01:07
설명,[폭발음],00:01:09,00:01:09,00:01:09
설명,[분위기가 고조되는 음악],00:01:11,00:01:11,00:01:11
설명,[휴대전화 알람음],00:01:36,00:01:36,00:01:36
설명,[휴대전화 조작음],00:01:47,00:01:47,00:01:47
설명,[한숨],00:01:51,00:01:51,00:01:51
설명,[종소리가 들려온다],00:01:53,00:01:53,00:01:53
설명,[빈센조의 한숨],00:02:00,00:02:00,00:02:00
설명,[새가 지저귄다] [종이 연신 울린다],00:02:10,00:02:10,00:02:10
설명,[거리 소음이 들려온다],00:02:17,00:02:17,00:02:17
설명,[의미심장한 음악],00:02:22,00:02:22,00:02:22
설명,[발걸음이 울린다],00:02:49,00:02:49,00:02:49
설명,[잔잔한 음악],00:03:12,00:03:12,00:03:12
빈센조,[이탈리아어] 에밀리오 집으로,00:03:18,00:03:18,00:03:18
루카,"예, 콘실리에리",00:03:19,00:03:19,00:03:19
설명,[자동차 시동음],00:03:21,00:03:21,00:03:21
설명,[긴장되는 음악],00:03:26,00:03:26,00:03:26
설명,[경비행기 엔진음],00:03:35,00:03:35,00:03:35
루카,무슨 일이야?,00:04:23,00:04:23,00:04:23
설명,[문이 철컹 열린다],00:04:35,00:04:35,00:04:35
설명,[새가 지저귄다],00:04:50,00:04:50,00:04:50
설명,[잔잔한 음악],00:04:54,00:04:54,00:04:54
설명,[에밀리오의 헛웃음],00:05:00,00:05:00,00:05:00
루카,넌 보스의 장례식 날도 비즈니스를 하나?,00:05:02,00:05:02,00:05:02
설명,[에밀리오가 달그락거린다],00:05:08,00:05:08,00:05:08
설명,[빈센조가 가방을 부스럭거린다],00:05:14,00:05:14,00:05:14
빈센조,파비오 보스의 마지막 제안이야,00:05:18,00:05:18,00:05:18
빈센조,[웃으며] 관에 누워 있는 주제에 무슨 제안? 필요 없어,00:05:21,00:05:21,00:05:21
빈센조,가져가,00:05:23,00:05:23,00:05:23
설명,[태블릿을 탁 내려놓는다],00:05:28,00:05:28,00:05:28
빈센조,카를로 조합장을 죽이고 농장과 조합을 차지한 건,00:05:30,00:05:30,00:05:30
빈센조,실수였어,00:05:34,00:05:34,00:05:34
빈센조,카를로 조합장은,00:05:36,00:05:36,00:05:36
빈센조,파비오 보스의 형제나 다름없어,00:05:39,00:05:39,00:05:39
빈센조,난 어떤 제안이든 응할 생각이 없어,00:05:41,00:05:41,00:05:41
빈센조,제안처럼 들려?,00:05:47,00:05:47,00:05:47
설명,[빈센조의 헛웃음],00:05:49,00:05:49,00:05:49
빈센조,친구를 죽인 자에게 베푸는,00:05:50,00:05:50,00:05:50
빈센조,보스의 마지막 자비야,00:05:56,00:05:56,00:05:56
설명,[탄성],00:05:58,00:05:58,00:05:58
빈센조,협상이 아니라,00:06:00,00:06:00,00:06:00
빈센조,협박을 하러 온 건가?,00:06:04,00:06:04,00:06:04
빈센조,지금 사인한다면,00:06:09,00:06:09,00:06:09
빈센조,더 큰 문제는 일어나지 않을 거야,00:06:12,00:06:12,00:06:12
빈센조,꺼져,00:06:13,00:06:13,00:06:13
빈센조,이 건방진 동양인 새끼,00:06:16,00:06:16,00:06:16
에밀리오,정당하게 내가 싸워 차지한 거야,00:06:20,00:06:20,00:06:20
에밀리오,"이곳에 너희 까사노 패밀리 지분은 단 1%도 없어, 나가",00:06:23,00:06:23,00:06:23
설명,[경비행기 엔진음],00:06:28,00:06:28,00:06:28
설명,[의미심장한 음악],00:06:32,00:06:32,00:06:32
에밀리오,후회하지 않겠어?,00:06:44,00:06:44,00:06:44
설명,[에밀리오의 웃음],00:06:45,00:06:45,00:06:45
에밀리오,후회?,00:06:50,00:06:50,00:06:50
에밀리오,내 뒤엔 루치노 패밀리가 있어,00:06:52,00:06:52,00:06:52
에밀리오,전쟁도 무섭지 않아,00:06:55,00:06:55,00:06:55
에밀리오,후회는 살아서 겪을 수 있는 가장 지독한 지옥이지,00:07:01,00:07:01,00:07:01
설명,[흥얼거린다],00:07:04,00:07:04,00:07:04
빈센조,에밀리오,00:07:06,00:07:06,00:07:06
빈센조,난 지옥을 피할 수 있는 기회를 주러 온 거야,00:07:08,00:07:08,00:07:08
빈센조,전쟁이 아니라,00:07:14,00:07:14,00:07:14
빈센조,"어, 그래그래",00:07:15,00:07:15,00:07:15
빈센조,'아리가토',00:07:17,00:07:17,00:07:17
빈센조,이 미개한 동양인 새끼야,00:07:19,00:07:19,00:07:19
설명,[바람이 휭 분다],00:07:24,00:07:24,00:07:24
설명,[총이 철컥 장전된다],00:07:36,00:07:36,00:07:36
빈센조,에밀리오,00:07:37,00:07:37,00:07:37
설명,[한숨],00:07:39,00:07:39,00:07:39
빈센조,[한국어] 동양인을 모욕한 대가,00:07:43,00:07:43,00:07:43
빈센조,곧 치르게 될 거야,00:07:46,00:07:46,00:07:46
빈센조,이 미개한 새끼야,00:07:49,00:07:49,00:07:49
에밀리오,[이탈리아어] 욕한 거 맞지? 빈센조!,00:07:56,00:07:56,00:07:56
에밀리오,"뭐라 한 거냐고, 어!",00:07:58,00:07:58,00:07:58
설명,[경비행기 엔진음],00:08:01,00:08:01,00:08:01
에밀리오,왜 오늘 또 농약을 뿌리는 거야?,00:08:12,00:08:12,00:08:12
에밀리오,지난주에 뿌렸잖아,00:08:16,00:08:16,00:08:16
에밀리오,젠장,00:08:23,00:08:23,00:08:23
설명,[놀란 신음],00:08:25,00:08:25,00:08:25
설명,[킁킁거린다],00:08:26,00:08:26,00:08:26
에밀리오,이건 농약이 아니라…,00:08:29,00:08:29,00:08:29
설명,[긴장되는 음악],00:08:40,00:08:40,00:08:40
설명,[날카로운 효과음],00:09:01,00:09:01,00:09:01
설명,[무거운 효과음],00:09:15,00:09:15,00:09:15
설명,[무거운 효과음],00:09:18,00:09:18,00:09:18
에밀리오,"맙소사, 다 불타고 있잖아!",00:09:24,00:09:24,00:09:24
에밀리오,전부 불타고 있잖아!,00:09:26,00:09:26,00:09:26
에밀리오,얼른 움직여!,00:09:28,00:09:28,00:09:28
에밀리오,움직이라고!,00:09:30,00:09:30,00:09:30
에밀리오,서둘러!,00:09:33,00:09:33,00:09:33
에밀리오,"아, 망할 빈센조!",00:09:37,00:09:37,00:09:37
에밀리오,복수할 거야!,00:09:39,00:09:39,00:09:39
에밀리오,빈센조 너와 까사노 패밀리 모두에게 복수할 거야!,00:09:40,00:09:40,00:09:40
에밀리오,어서!,00:09:44,00:09:44,00:09:44
설명,[절규],00:09:46,00:09:46,00:09:46
설명,[종소리가 들려온다],00:10:50,00:10:50,00:10:50
설명,[쓸쓸한 음악],00:10:59,00:10:59,00:10:59
설명,[사람들이 대화한다],00:11:04,00:11:04,00:11:04
에밀리오,아버지,00:11:49,00:11:49,00:11:49
설명,[쓸쓸한 음악이 뚝 멈춘다],00:11:53,00:11:53,00:11:53
설명,[파올로가 시가 커터를 달칵거린다],00:11:56,00:11:56,00:11:56
설명,[라이터를 달칵 켠다],00:12:01,00:12:01,00:12:01
설명,[시가가 치지직 탄다],00:12:02,00:12:02,00:12:02
에밀리오,장례식 끝내고 해도 됐었잖아,00:12:07,00:12:07,00:12:07
에밀리오,보스의 마지막 명령이었어,00:12:12,00:12:12,00:12:12
에밀리오,하루라도 빨리 처리하라고,00:12:15,00:12:15,00:12:15
에밀리오,그래도 농장 전체를 태운 건,00:12:18,00:12:18,00:12:18
에밀리오,어리석은 짓이었어,00:12:21,00:12:21,00:12:21
에밀리오,보스는 어떤 방법을 써도,00:12:23,00:12:23,00:12:23
에밀리오,괜찮다고 말씀하셨어,00:12:26,00:12:26,00:12:26
