actor,script,start_time,end_time,duration
설명,[주제곡],00:00:01,00:00:01,00:00:01
설명,[유찬의 헛기침],00:00:47,00:00:47,00:00:47
빈센조,아까부터 급한 전화가 오는 것 같던데요?,00:00:48,00:00:48,00:00:48
빈센조,예? 급한 전화요?,00:00:49,00:00:49,00:00:49
빈센조,RDU,00:00:53,00:00:53,00:00:53
빈센조,RDU90,00:00:55,00:00:55,00:00:55
빈센조,그 연구원 아닙니까?,00:00:58,00:00:58,00:00:58
설명,[당황한 신음] [휴대전화 조작음],00:01:00,00:01:00,00:01:00
설명,[통화 연결음],00:01:05,00:01:05,00:01:05
설명,[긴장되는 음악],00:01:09,00:01:09,00:01:09
설명,[날카로운 효과음],00:01:12,00:01:12,00:01:12
설명,[우아한 음악],00:01:26,00:01:26,00:01:26
설명,[하늘이 우르릉 울린다],00:01:42,00:01:42,00:01:42
설명,[사람들이 소란스럽다],00:01:53,00:01:53,00:01:53
설명,[차분한 음악],00:03:40,00:03:40,00:03:40
설명,[차영이 흐느낀다],00:03:48,00:03:48,00:03:48
차영,아빠,00:03:51,00:03:51,00:03:51
차영,아빠…,00:03:56,00:03:56,00:03:56
차영,"아, 어떡해",00:04:03,00:04:03,00:04:03
설명,[흐느낀다],00:04:09,00:04:09,00:04:09
설명,[차영이 흐느낀다],00:04:19,00:04:19,00:04:19
TV 속 기자1,상천구 금가동의 트럭 충돌 사고로 숨진,00:04:51,00:04:51,00:04:51
TV 속 기자1,유명 인권 변호사 홍 씨가,00:04:54,00:04:54,00:04:54
TV 속 기자1,변호사법 위반 및 위증 교사 혐의로 수사를 받다,00:04:56,00:04:56,00:04:56
TV 속 기자1,사망한 것으로 알려져 충격을 주고 있습니다,00:04:59,00:04:59,00:04:59
TV 속 기자1,홍 씨는 바벨제약 임상 시험 피해자들의 변호를 하는 등,00:05:02,00:05:02,00:05:02
TV 속 기자1,어려운 사람들을 위해 목소리를 냈던,00:05:05,00:05:05,00:05:05
TV 속 기자1,인권 변호사로 알려져 있었는데요,00:05:07,00:05:07,00:05:07
TV 속 기자1,불의의 사고로 숨지면서 그 민낯이 속속들이 나타났습니다,00:05:09,00:05:09,00:05:09
TV 속 기자1,홍 씨는 최근 소송을 진행하는 과정에서,00:05:13,00:05:13,00:05:13
TV 속 기자1,관계자들에 금품을 요구하고 상납했을 뿐만 아니라,00:05:16,00:05:16,00:05:16
TV 속 기자1,택배 기사 이 씨를 선동해 위증을 유도하는 등,00:05:19,00:05:19,00:05:19
TV 속 기자1,변호사법을 위반하여,00:05:22,00:05:22,00:05:22
TV 속 기자1,경찰의 수사를 받고 있었던 것으로 알려져,00:05:23,00:05:23,00:05:23
TV 속 기자1,피해자들은 물론,00:05:25,00:05:25,00:05:25
TV 속 기자1,홍 씨를 인권 변호사로 추앙했던 많은 사람들에게,00:05:27,00:05:27,00:05:27
TV 속 기자1,큰 충격을 주고 있습니다,00:05:30,00:05:30,00:05:30
설명,[열쇠를 잘그랑거린다],00:06:08,00:06:08,00:06:08
TV 속 기자1,"변호사님, 제가 열쇠를…",00:06:16,00:06:16,00:06:16
TV 속 기자1,열쇠를 안 가져와 가지고,00:06:19,00:06:19,00:06:19
설명,[한숨],00:06:22,00:06:22,00:06:22
설명,[슬픈 음악],00:06:54,00:06:54,00:06:54
TV 속 기자1,"""고 홍유찬""",00:07:08,00:07:08,00:07:08
설명,[차영이 흐느낀다],00:07:32,00:07:32,00:07:32
기자2,메디컬 리포트입니다,00:08:23,00:08:23,00:08:23
기자2,바벨제약의 신약 RDU90의 식약처 허가가 이루어져,00:08:24,00:08:24,00:08:24
기자2,곧 출시될 예정입니다,00:08:28,00:08:28,00:08:28
기자2,RDU90은 부작용 없는 긴 지속 효과로,00:08:30,00:08:30,00:08:30
기자2,꿈의 진통제로 일컬어지고 있습니다,00:08:34,00:08:34,00:08:34
기자2,부작용으로 인한 피실험자 사망으로 소송까지 이루어졌지만,00:08:36,00:08:36,00:08:36
기자2,신약과는 직접적인 연관이 없는 걸로 밝혀졌습니다,00:08:40,00:08:40,00:08:40
설명,[차영의 한숨],00:09:25,00:09:25,00:09:25
설명,[잔잔한 음악],00:09:26,00:09:26,00:09:26
유찬,홍차영 첫 낚시,00:10:06,00:10:06,00:10:06
유찬,소질은 있으나 다신 안 온다고 함,00:10:08,00:10:08,00:10:08
설명,[웃음],00:10:10,00:10:10,00:10:10
유찬,고교 졸업식,00:10:18,00:10:18,00:10:18
유찬,꽃다발 싫다 함,00:10:19,00:10:19,00:10:19
유찬,혼자 갈비 4인분 먹음,00:10:21,00:10:21,00:10:21
유찬,2008년 2월 20일,00:10:23,00:10:23,00:10:23
유찬,2014년 1월 12일,00:10:34,00:10:34,00:10:34
유찬,사법 연수원 수료,00:10:37,00:10:37,00:10:37
유찬,자랑스러운 우리 딸 차영이,00:10:40,00:10:40,00:10:40
유찬,아버지처럼 못난 법조인이 되지 않길 바라며 [흐느낀다],00:10:43,00:10:43,00:10:43
유찬,"사랑한다, 차영아",00:10:47,00:10:47,00:10:47
설명,[훌쩍인다],00:10:55,00:10:55,00:10:55
설명,[흐느낀다],00:10:56,00:10:56,00:10:56
설명,[어두운 음악],00:11:03,00:11:03,00:11:03
설명,[남자1이 소리친다],00:11:06,00:11:06,00:11:06
남자2,저게 뭐고? 사람 아이가?,00:11:07,00:11:07,00:11:07
설명,[남자1의 놀란 신음],00:11:09,00:11:09,00:11:09
남자1,아이고야,00:11:10,00:11:10,00:11:10
주성,붕어,00:11:17,00:11:17,00:11:17
주성,마루,00:11:19,00:11:19,00:11:19
주성,"희진이, 은삼이",00:11:21,00:11:21,00:11:21
주성,너희들한테 처음 물 줘 보는구나,00:11:24,00:11:24,00:11:24
주성,내가 오늘부터 너희들 아빠가 돼 줄게,00:11:30,00:11:30,00:11:30
주성,이제 우리 집으로…,00:11:34,00:11:34,00:11:34
설명,[TV 소리가 흘러나온다],00:11:37,00:11:37,00:11:37
설명,[잔잔한 음악],00:11:39,00:11:39,00:11:39
주성,우리 지푸라기,00:11:46,00:11:46,00:11:46
주성,진짜 정리하시는 거죠?,00:11:48,00:11:48,00:11:48
주성,네,00:11:51,00:11:51,00:11:51
설명,[수첩을 탁 내려놓는다],00:12:02,00:12:02,00:12:02
설명,[액자를 탁 내려놓는다],00:12:11,00:12:11,00:12:11
TV 속 앵커1,다음 소식입니다,00:12:13,00:12:13,00:12:13
TV 속 앵커1,오늘 아침 부산 기장 대변 앞바다에서,00:12:15,00:12:15,00:12:15
TV 속 앵커1,신원 미상의 남자 시신이 발견됐습니다,00:12:17,00:12:17,00:12:17
