actor,script,start_time,end_time,duration
설명,[주제곡],00:00:01,00:00:01,00:00:01
설명,[흥미진진한 음악],00:00:43,00:00:43,00:00:43
설명,[문이 탁 닫힌다],00:01:19,00:01:19,00:01:19
빈센조,변호사님,00:01:28,00:01:28,00:01:28
빈센조,이기고는 싶은 겁니까?,00:01:32,00:01:32,00:01:32
빈센조,"아주, 죽도록",00:01:33,00:01:33,00:01:33
설명,[한숨],00:01:38,00:01:38,00:01:38
빈센조,그럼 새로운 증인을 한번 만들어 보죠,00:01:44,00:01:44,00:01:44
빈센조,지금도 박박 긁어서 모은 사람들인데 어떻게 구해요?,00:01:46,00:01:46,00:01:46
빈센조,"나요, 날 증인으로 올려요",00:01:50,00:01:50,00:01:50
빈센조,변호사님을요?,00:01:52,00:01:52,00:01:52
차영,증인을 하려면 직간접적인 연관성이 있어야 해요,00:01:54,00:01:54,00:01:54
차영,일단 날 링 위에 올려놓기만 해요,00:01:59,00:01:59,00:01:59
차영,올려놓기만 하면 그다음부터는 내가 알아서 할게요,00:02:02,00:02:02,00:02:02
설명,[놀라는 숨소리] [흥미진진한 음악],00:02:07,00:02:07,00:02:07
설명,[차영의 들뜬 신음],00:02:10,00:02:10,00:02:10
설명,[웃음],00:02:13,00:02:13,00:02:13
차영,예전에,00:02:18,00:02:18,00:02:18
차영,내가 어드바이스할 일이 있을 때,00:02:20,00:02:20,00:02:20
차영,반드시 내 말 들어야 한다 그랬죠?,00:02:22,00:02:22,00:02:22
차영,그런 적이 있었나?,00:02:26,00:02:26,00:02:26
차영,"그랬어, 그랬어",00:02:27,00:02:27,00:02:27
차영,그럼 이번에 내 말 들어요,00:02:30,00:02:30,00:02:30
차영,내가 뭘 시키든,00:02:32,00:02:32,00:02:32
설명,[흥미진진한 음악],00:02:34,00:02:34,00:02:34
차영,재정 증인 빈센조 까사노 씨입니다,00:02:55,00:02:55,00:02:55
허 판사,빈센조 까사노? [입바람을 후 분다],00:02:58,00:02:58,00:02:58
허 판사,더 자세히 말하면,00:03:05,00:03:05,00:03:05
허 판사,재정 증인 겸 가해자입니다,00:03:06,00:03:06,00:03:06
허 판사,"아니, 뜬금없이 가해자라니요?",00:03:11,00:03:11,00:03:11
허 판사,바벨화학 관련자를 폭행한 가해자이며,00:03:14,00:03:14,00:03:14
차영,본건과 관련 있는 폭행 사건입니다,00:03:18,00:03:18,00:03:18
설명,[흥미진진한 음악],00:03:21,00:03:21,00:03:21
차영,바벨화학과 해문병원의 불법 행위를,00:03:22,00:03:22,00:03:22
차영,완벽하게 파악하고 있는 사람은,00:03:24,00:03:24,00:03:24
차영,저와 변호사님뿐이에요,00:03:26,00:03:26,00:03:26
차영,변호사님이 재정 증인으로 링 위에 올라가면 돼요,00:03:29,00:03:29,00:03:29
차영,재정 증인도 피고 측에서 거부하면 소용없습니다,00:03:33,00:03:33,00:03:33
차영,"맞아요, 그래서 다른 대안이 필요해요",00:03:35,00:03:35,00:03:35
설명,[빈센조의 한숨],00:03:40,00:03:40,00:03:40
차영,그렇다면 거부할 수 없는 증인이 돼야죠,00:03:46,00:03:46,00:03:46
차영,결정적인 증거를 취득한,00:03:50,00:03:50,00:03:50
차영,가해자 증인,00:03:53,00:03:53,00:03:53
부장,"아휴, 산재 피해자 가족들도 징하다, 징해",00:03:57,00:03:57,00:03:57
팀장,누가 아니랍니까,00:04:00,00:04:00,00:04:00
팀장,대충 먹고 떨어질 것이지,00:04:02,00:04:02,00:04:02
팀장,"뭘 더 받아 처먹겠다고 이 지랄들을 하는 건지, 진짜",00:04:04,00:04:04,00:04:04
팀장,야!,00:04:09,00:04:09,00:04:09
설명,[식탁을 탁 친다],00:04:10,00:04:10,00:04:10
빈센조,바벨화학 신소재 연구 개발 부장,00:04:14,00:04:14,00:04:14
