actor,script,start_time,end_time,duration
설명,[주제곡],00:00:01,00:00:01,00:00:01
석도,"[긴장되는 음악] 아, 이 새끼가",00:00:43,00:00:43,00:00:43
설명,[사람들의 놀란 신음],00:00:45,00:00:45,00:00:45
수남,형님! 형님!,00:00:49,00:00:49,00:00:49
수남,한 발만 더 움직이면,00:00:51,00:00:51,00:00:51
설명,[석도의 겁먹은 신음],00:00:53,00:00:53,00:00:53
수남,너희 사장 떨어져 [흥미로운 음악],00:00:55,00:00:55,00:00:55
석도,"야, 가만있어, 이 새끼들아!",00:00:56,00:00:56,00:00:56
석도,"움직이지 마, 다들 가만있어",00:00:58,00:00:58,00:00:58
수남,"야, 가만있어, 가만있어 움직이지 마, 움직이지 마",00:00:59,00:00:59,00:00:59
빈센조,바벨건설은 이 건물을 불법으로 점유했어,00:01:02,00:01:02,00:01:02
설명,[석도의 떨리는 숨소리],00:01:05,00:01:05,00:01:05
빈센조,"죽고 싶지 않으면 빨리 올려, 새끼야, 어서!",00:01:07,00:01:07,00:01:07
설명,[석도의 떨리는 숨소리],00:01:10,00:01:10,00:01:10
빈센조,난 반드시 이 건물을 되찾을 거고,00:01:11,00:01:11,00:01:11
빈센조,너희들 모두 대가를 치르게 할 거야,00:01:14,00:01:14,00:01:14
설명,[떨리는 숨소리],00:01:17,00:01:17,00:01:17
빈센조,[이탈리아어] 이 건물은 내 거야,00:01:19,00:01:19,00:01:19
미리,[한국어] 이탈리아어죠? 뭐라는 거예요?,00:01:24,00:01:24,00:01:24
홍식,[토토의 당황한 신음] 뭐라는 겨?,00:01:26,00:01:26,00:01:26
홍식,"아, 그, 그게…",00:01:28,00:01:28,00:01:28
홍식,와! [익살스러운 음악],00:01:31,00:01:31,00:01:31
홍식,"'에 미오, 에 미오, 에 미오'",00:01:32,00:01:32,00:01:32
홍식,'에 미오',00:01:34,00:01:34,00:01:34
토토,'에 미오',00:01:36,00:01:36,00:01:36
토토,빨리 애들 데리고 꺼져,00:01:41,00:01:41,00:01:41
토토,그럼 올려 줄게,00:01:43,00:01:43,00:01:43
토토,"알았어, 꺼질게, 꺼질게, 빨리 올려",00:01:44,00:01:44,00:01:44
빈센조,뭐라고?,00:01:44,00:01:44,00:01:44
빈센조,"꺼진다고, 빨리 올려, 꺼진다고",00:01:46,00:01:46,00:01:46
빈센조,약속,00:01:46,00:01:46,00:01:46
석도,"아, 약속, 오케이, 약속, 아, 약속",00:01:47,00:01:47,00:01:47
석도,"아, 손가락 걸어야 돼?",00:01:49,00:01:49,00:01:49
석도,"아, 알았어",00:01:50,00:01:50,00:01:50
석도,"아, 안 펴져, 손가락, 아, 아파",00:01:51,00:01:51,00:01:51
석도,"아, 아, 손가락 조심",00:01:53,00:01:53,00:01:53
빈센조,"자, 도장",00:01:53,00:01:53,00:01:53
